Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,IndicatorName,Vaccine
7810320,MCV2,COUNTRY,BTN,YEAR,SEAR,South-East Asia,,,2012,,,,,,,90,90.0,,,,2025-07-14T16:23:12.92+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),MCV2
7828850,MCV2,COUNTRY,LBN,YEAR,EMR,Eastern Mediterranean,,,2017,,,,,,,63,63.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),MCV2
7829103,MCV2,COUNTRY,NPL,YEAR,SEAR,South-East Asia,,,2007,,,,,,,0,0.0,,,,2025-07-14T16:23:12.92+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),MCV2
7841690,MCV2,COUNTRY,KOR,YEAR,WPR,Western Pacific,,,2008,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),MCV2
7848325,MCV2,COUNTRY,YEM,YEAR,EMR,Eastern Mediterranean,,,2008,,,,,,,35,35.0,,,,2025-07-14T16:23:12.92+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),MCV2
7854106,MCV2,COUNTRY,CHN,YEAR,WPR,Western Pacific,,,2015,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),MCV2
7861068,MCV2,COUNTRY,VCT,YEAR,AMR,Americas,,,2014,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),MCV2
7880192,MCV2,COUNTRY,KWT,YEAR,EMR,Eastern Mediterranean,,,2000,,,,,,,0,0.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),MCV2
7905212,MCV2,COUNTRY,MNG,YEAR,WPR,Western Pacific,,,2002,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),MCV2
7918282,MCV2,COUNTRY,GAB,YEAR,AFR,Africa,,,2004,,,,,,,0,0.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),MCV2
