Location,LocationCode,doctors,nurses,pharmacists,gov_health_exp,UHC_index
Switzerland,CHE,44.77,187.6,6.61,12.41126156,80.0
Syrian Arab Republic,SYR,15.21,17.57,16.31,7.7784791,64.12852
Tajikistan,TJK,18.7,64.53,2.56,6.39179087,67.24715
Thailand,THA,5.41,35.72,2.24,16.09752655,80.0
Timor-Leste,TLS,7.52,17.38,2.08,8.92512321,52.30378
Togo,TGO,0.8,4.94,0.28,2.56088448,44.00792
Tonga,TON,10.14,41.99,0.76,8.65424824,56.68787
Trinidad and Tobago,TTO,41.57,41.08,6.28,10.92103672,75.0049
Tunisia,TUN,13.15,21.61,2.42,11.21025467,67.13705
Turkmenistan,TKM,19.3,34.88,1.39,8.46009445,74.70721
Tuvalu,TUV,13.46,39.42,1.92,11.21333885,52.40868
Türkiye,TUR,22.36,34.83,4.48,10.04855919,75.58542
Uganda,UGA,1.91,22.65,0.36,4.8566246,48.5671
Ukraine,UKR,35.311,60.79,,,75.50772
United Arab Emirates,ARE,29.92,61.87,15.28,12.07433224,80.0
United Kingdom,GBR,33.01,95.49,8.97,20.66609383,80.0
United Republic of Tanzania,TZA,1.34,6.93,0.35,5.13516998,42.62791
United States of America,USA,36.81,133.76,11.13,24.74209785,80.0
Uruguay,URY,46.74,73.86,0.65,20.94006157,80.0
Uzbekistan,UZB,23.1,110.83,0.51,7.12650585,74.84127
Vanuatu,VUT,1.64,14.59,,3.88656735,46.99287
Venezuela (Bolivarian Republic of),VEN,16.64,20.03,,6.0081892,75.1346
Viet Nam,VNM,11.07,14.41,3.37,10.70261955,68.08401
Yemen,YEM,0.98,5.41,0.53,2.50915909,42.4872
Zambia,ZMB,3.24,29.36,0.71,8.88877583,55.83556
Zimbabwe,ZWE,1.36,30.71,1.18,5.21166706,55.04284
"occupied Palestinian territory, including east Jerusalem",PSE,,,,13.4776783,
